,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,season
79,Wolves,26,38.0,673,377,377,242,54,273,671,40.7,398,437,135,302,389,1062,820,20,2021_22
80,Arsenal,26,38.0,568,343,238,212,118,249,509,48.9,260,362,86,276,237,805,599,23,2022_23
81,Aston Villa,26,38.0,633,338,305,251,77,313,646,48.5,333,438,118,320,324,957,714,14,2022_23
82,Bournemouth,31,38.0,618,371,316,249,53,256,606,42.2,350,499,170,329,353,971,1027,11,2022_23
83,Brentford,25,38.0,587,337,270,228,89,253,599,42.2,346,456,168,288,341,928,822,14,2022_23
84,Brighton,29,38.0,616,340,270,242,104,266,561,47.4,295,392,104,288,303,919,432,15,2022_23
85,Chelsea,32,38.0,740,445,363,267,110,333,656,50.8,323,466,108,358,341,1081,661,21,2022_23
86,Crystal Palace,26,38.0,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,7,2022_23
87,Everton,28,38.0,708,424,362,257,89,309,611,50.6,302,510,180,330,390,1098,874,17,2022_23
88,Fulham,29,38.0,625,350,295,229,101,299,585,51.1,286,455,125,330,340,965,749,15,2022_23
89,Leeds United,29,38.0,840,480,376,343,121,412,863,47.7,451,536,131,405,392,1232,734,18,2022_23
90,Leicester City,28,38.0,700,412,345,292,63,308,669,46.0,361,517,170,347,367,1067,777,12,2022_23
91,Liverpool,28,38.0,590,370,228,250,112,281,648,43.4,367,350,74,276,333,923,568,20,2022_23
92,Manchester City,24,38.0,471,272,185,198,88,212,462,45.9,250,339,95,244,223,694,402,9,2022_23
93,Manchester Utd,26,38.0,658,400,343,231,84,301,598,50.3,297,496,146,350,352,1010,771,11,2022_23
94,Newcastle Utd,27,38.0,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10,2022_23
95,Nott'ham Forest,33,38.0,659,387,380,201,78,296,584,50.7,288,500,156,344,349,1008,944,7,2022_23
96,Southampton,36,38.0,713,426,377,279,57,297,611,48.6,314,542,165,377,428,1141,852,11,2022_23
97,Tottenham,29,38.0,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,20,2022_23
98,West Ham,25,38.0,608,336,290,226,92,270,562,48.0,292,415,139,276,408,1016,810,10,2022_23
99,Wolves,32,38.0,661,370,364,222,75,286,609,47.0,323,497,175,322,279,940,817,19,2022_23
